word	pos	pos2	phoneme	politeness	tense	tag	alt	alt2	restriction
그러	EC		NUL			방언	도록/EC		
그레	EC		NUL			방언	기에/EC		
그로	EC		NUL			방언	게끔/EC		
기	ETN		NUL						
기나	EC		NUL			방언	거나/EC		
기로	EC		NUL						
기로	EC		NUL						
기로니	EC		NUL			강조	기로/EC		
기로서	EC		NUL			강조	기로/EC		
기로서니	EC		NUL			구어&강조	기로서/EC	기로/EC	
기로선들	EC		NUL			강조	기로서/EC		
기에	EC		NUL						
기요	EF		NUL	해체		청유			
길래	EC		NUL			구어			
꺼니	EC		NUL			방언	니까/EC		
꺼니	EF		NUL			방언	니까/EF		
꺼마	EF		NUL			방언	을게/EF		
께	EF		VO|LQ	해체		구어&비표준	을게/EF		*/VV
꾸마	EF		NUL			방언	마/EF		
ㄴ	EP		VO|LQ						*/VV|*/EP
ㄴ	EF		NUL			명령			*오/VV
ㄴ	ETM		VO|LQ		과거				*/VV|*/EP
ㄴ	ETM		VO|LQ						*/VV|*/EP
ㄴ	ETM		VO|LQ						
ㄴ가	EF		VO|LQ	하게체			는가/EF		
ㄴ가	EF		VO|LQ				는가/EF		
ㄴ감	EF		VO|LQ				는감/EF		
ㄴ강	EF		VO			방언	는가/EF		
ㄴ걸	EF		VO|LQ	해체		구어	는걸/EF		*/VV|*/EP
ㄴ걸	EF		VO|LQ	해체		구어	는걸/EF		
ㄴ고	EF		VO|LQ	해라체		예스러움	는고/EF		
ㄴ고	EF		VO|LQ	해라체		예스러움	는고/EF		
ㄴ교	EF		VO			방언	는가요/EF		
ㄴ께네	EF		VO			방언	으니까/EF		
ㄴ나	EF		VO			방언	는가/EF		
ㄴ나	EF		VO			방언	너라/EF		
ㄴ다	EF		VO|LQ	해라체			는다/EF		*/VV|*/EP
ㄴ다	EF		VO|LQ	해라체			는다/EF		*/VV|*/EP
ㄴ다고	EC		VO|LQ				는다고/EC		*/VV|*/EP
ㄴ다고	EC		VO|LQ				는다고/EC		*/VV|*/EP
ㄴ다고	EF		VO|LQ	해체		강조	는다고/EF		*/VV|*/EP
ㄴ다고	EF		VO|LQ	해체			는다고/EF		*/VV|*/EP
ㄴ다고	EF		VO|LQ	해체			는다고/EF		*/VV|*/EP
ㄴ다나	EF		VO|LQ			구어	는다나/EF		*/VV|*/EP
ㄴ다네	EF		VO|LQ	하게체			는다네/EF		*/VV|*/EP
ㄴ다느니	EC		VO|LQ				는다느니/EC		*/VV|*/EP
ㄴ다니	EF		VO|LQ	해체			는다니/EF		*/VV|*/EP
ㄴ다니	EF		VO|LQ	해라체			는다니/EF		*/VV|*/EP
ㄴ다니까	EF		VO	해체		확인	는다니까/EF		
ㄴ다더라	EF		VO	해라체			는다더라/EF		*/VV
ㄴ다마는	EC		VO|LQ				는다마는/EC		*/VV|*/EP
ㄴ다만	EC		VO				는다만/EC		
ㄴ다며	EC		VO				는다면서/EC		
ㄴ다면	EC		VO|LQ				는다면/EC		*/VV|*/EP
ㄴ다면서	EF		VO	해체		구어&확인	는다면/EF		
ㄴ다손	EC		VO|LQ				는다손/EC		*/VV|*/EP
ㄴ다오	EF		VO	하오체			는다오/EF		
ㄴ다이	EF		VO			방언	는다/EF		
ㄴ다지	EF		VO	해체		확인	는다지/EF		
ㄴ단다	EF		VO|LQ	해라체			는단다/EF		*/VV|*/EP
ㄴ담	EF		VO|LQ	해라체		구어	는담/EF		*/VV|*/EP
ㄴ답니까	EF		VO	합쇼체			는답니까/EF		
ㄴ답니다	EF		VO	합쇼체			는답니다/EF		
ㄴ답시고	EC		VO|LQ				는답시고/EC		*/VV|*/EP
ㄴ대	EF		VO|LQ	해체			는대/EF		*/VV|*/EP
ㄴ대니	EC		VO			방언	는다니/EC		
ㄴ대요	EF		VO	해요체		구어	는대요/EF		
ㄴ댄다	EF		VO|LQ	해라체		비표준	는댄다/EF		*/VV|*/EP
ㄴ데	EC		VO|LQ				는데/EC		
ㄴ데	EF		VO|LQ	해체		감탄	는데/EF		
ㄴ데	EF		VO|LQ				는데/EF		
ㄴ뎁쇼	EF		VO	합쇼체	현재		는뎁쇼/EF		*/VCP|*VCN|*VA|*/EP
ㄴ들	EC		VO|LQ				는들/EC		
ㄴ디	EC		VO			방언	는데/EC		
ㄴ디	EF		VO			방언	는데/EF		
ㄴ바	EC		VO|LQ		과거	문어	는바/EC		*/VV|*/EP
ㄴ바	EC		VO|LQ			문어	는바/EC		
ㄴ즉	EC		VO|LQ			예스러움	는즉/EC		
ㄴ즉슨	EC		VO|LQ			강조&예스러움	는즉슨/EC		
ㄴ지	EC		VO|LQ				는지/EC		
ㄴ지	EF		VO|LQ	해체			는지/EF		
ㄴ지고	EF		VO|LQ	해라체		(강조|감탄)	는지고/EF		
ㄴ지고	EF		VO	해라체		(강조|감탄)	는지고/EF		*/VV
ㄴ지라	EC		VO|LQ			예스러움	는지라/EC		
ㄴ지라	EC		VO|LQ				는지라/EC		*/VV|*/EP
나	EC		VO|LQ				으나/EC		
나	EC		VO|LQ			선택			
나	EC		VO|LQ			강조			
나	EF		NUL	하게체					*/VV
나	EF		NUL	해체					*/VV|*/EP
나	EF		NUL	해라체					
나	EF		VO			방언	너라/EF		
나	EF		NUL	해라체					
나니	EC		NUL						*/VV|*/EP
나니	EC		NUL						*/VV|*/EP
나따나	EC		NUL			방언	나마/EC		
나따나	EC		NUL			방언	더라도/EC		
나마	EC		VO|LQ				으나마/EC		
나새나	EF		NUL			구어			
나이까	EF		NUL	합쇼체		예스러움			
나이다	EF		NUL	합쇼체		예스러움			
난	EC		NUL			방언	니/EC		
난	EF		NUL			방언	니까/EF		
남	EF		NUL	해라체		구어			*/VV|*/EP
남동	EC		NUL			방언	나마/EC		
냐	EF		NUL	해라체		구어	느냐/EF		
냐고	EF		NUL	해체			느냐고/EF		
냐고	EF		NUL	해체			느냐고/EF		
냐고	EC		NUL			인용&해라&옛스러움	느냐고/EC		
냰	EF		NUL			인용	냐고/EF		
너라	EF		NUL	해라체		예스러움&명령	어라/EF		*오/VV
네	EF		NUL	하게체					
네	EF		NUL	해체		감탄			
네	EC		NUL			인용	니/EC		
네	EF		NUL			인용	니/EF		
노	EF		NUL	해라체					
노니	EC		NUL			예스러움&문어			*/VV|*/EP
노니	EC		NUL			예스러움&문어			*/VV|*/EP
노라	EF		NUL	해라체					*/VV|*/EP
노라고	EC		NUL						*/VV
노라니	EC		NUL			예스러움			
노라니까	EC		NUL			옛스러움&강조	노라니/EC		
노라면	EC		NUL			예스러움			
뇨	EF		NUL	해라체		예스러움	느뇨/EF		*/VCP|*VCN|*VA|*/EP
누	EF		NUL	해라체					*/VV|*/EP
누나	EF		NUL		현재	예스러움	는구나/EF		*/VV|*/EP
누라구	EC		NUL			방언	노라고/EC		
누만	EF		NUL			비표준			*/VV|*/EP
누먼	EF		NUL			감탄	는구먼/EF		*/VV|*/EP
느냐	EF		NUL	해라체		예스러움			
느냐고	EF		NUL	해체					
느냐고	EF		NUL	해체					
느뇨	EF		NUL	해라체		예스러움			
느니	EC		NUL						
느니	EC		NUL						
느니	EF		NUL	하게체					
느니라	EF		NUL	해라체		예스러움			
느니만	EC		NUL						
느니만치	EC		NUL						
느니만큼	EC		NUL					느니만큼/EC	
느라	EC		NUL					느라고/EC	*/VV|*/EP
느라고	EC		NUL						*/VV|*/EP
느라고	EC		NUL			예스러움&비표준	노라고/EC		*/VV|*/EP
느라니	EC		NUL			예스러움&비표준	노라니/EC		
느라니까	EC		NUL			방언	노라니까/EC		
느라니까	EF		NUL			방언	노라니까/EF		
느라면	EC		NUL			예스러움&비표준	노라면/EC		
느마	EC		NUL			방언	는구먼/EC		
느마	EF		NUL			방언	는구먼/EF		
느매	EF		NUL			방언	는가/EF		
는	EP		LQ|FS		현재				*/VV|*/EP
는	ETM		NUL		현재				
는가	EF		NUL	하게체	현재				
는가	EF		NUL						
는감	EF		NUL	하게체		구어			
는강	EF		NUL			방언	는고/EF		
는걸	EF		NUL	해체	현재	구어			
는고	EF		NUL	해라체	현재				
는고	EF		NUL	해라체					
는공	EF		NUL			방언	는고/EF		
는교	EC		NUL			방언	ㅂ니까/EC		
는교	EF		NUL			방언	ㅂ니까/EF		
는구나	EF		NUL	해라체		감탄			*/VV|*/EP
는구려	EF		NUL	하오체		감탄			*/VV|*/EP
는구료	EF		NUL	하오체		비표준&감탄	는구려/EF		*/VV|*/EP
는구마	EC		NUL			방언	는구먼/EC		
는구마	EF		NUL			방언	는구먼/EF		
는구만	EC		NUL			방언	는구먼/EC		
는구만	EF		NUL			방언	는구만/EF		
는구매	EC		NUL			방언	는구먼/EC		
는구매	EF		NUL			방언	는구먼/EF		
는구먼	EC		NUL						
는구먼	EF		NUL						
는구면	EC		NUL			비표준	는구먼/EC		
는구면	EF		NUL			비표준	는구먼/EF		
는군	EF		NUL	해체		감탄	는구먼/EF		*/VV|*/EP
는군	EF		NUL				는구나/EF		*/VV|*/EP
는궈니	EC		NUL			비표준	는과니/EC		
는다	EF		LQ|FS	해라체					*/VV
는다	EF		LQ|FS	해라체					*/VV
는다고	EC		VO|LQ						*/VV
는다고	EC		VO|LQ						*/VV
는다고	EF		LQ|FS	해체		강조			*/VV
는다고	EF		LQ|FS	해체					*/VV
는다고	EF		LQ|FS	해체					*/VV
는다꼬	EC		NUL			방언	는다고/EC		
는다꼬	EF		NUL			방언	는다고/EF		
는다나	EF		LQ|FS			구어			*/VV
는다네	EF		LQ|FS	하게체					*/VV
는다느니	EC		LQ|FS						*/VV
는다니	EF		LQ|FS	해체					*/VV
는다니	EF		LQ|FS	해라체					*/VV
는다니까	EF		LQ|FS	해체		확인			*/VV
는다더라	EF		LQ|FS	해라체					*/VV
는다마는	EC		LQ|FS						*/VV
는다만	EC		NUL				는다마는/EC		
는다며	EC		NUL				는다면서/EC		
는다며	EF		NUL				는다면서/EF		
는다면	EC		LQ|FS						*/VV
는다면서	EF		NUL	해체		확인			
는다손	EC		LQ|FS						*/VV
는다오	EF		NUL	하오체					
는다이	EF		NUL			방언	는다/EF		
는다지	EF		NUL	해체		확인			
는단다	EF		LQ|FS	해라체					*/VV
는담	EF		LQ|FS	해라체		구어			*/VV
는답니까	EF		NUL	합쇼체					
는답니다	EF		NUL	합쇼체					
는답시고	EC		LQ|FS						*/VV
는대	EF		LQ|FS	해체					*/VV
는대요	EF		NUL	해요체					
는댄다	EF		NUL	해라체		비표준	는단다/EF		
는데	EC		NUL						
는데	EF		NUL	해체		감탄			
는데	EF		NUL						
는뎁쇼	EF		NUL	합쇼체	현재				
는도다	EF		NUL	해라체		예스러움&감탄			
는디	EC		NUL			방언	는데/EC		
는디	EF		NUL			방언	는데/EF		
는디	EC		NUL			방언	는지/EC		
는디	EF		NUL			방언	는지/EF		
는맥세	EC		NUL			방언	자마자/EC		
는바	EC		NUL			문어			
는지	EC		NUL						
는지	EF		NUL	해체					
는지고	EF		NUL	해라체	현재	(강조|감탄)&예스러움			
는지라	EC		NUL		현재	예스러움			
늬라고	EC		NUL			비표준	느라고/EC		
니	EC		VO|LQ						
니	EC		VO|LQ						
니	EC		VO|LQ						*/VCP|*/VCN|*/VA
니	EF		VO|LQ	하게체				을새/EF	
니	EF		NUL	해라체					
니	EC		NUL			방언	게/EC		
니	EF		NUL			방언	게/EF		
니까	EC		VO|LQ			강조	으니까/EC		
니까	EF		VO|LQ			강조	으니까/EF		
니까나	EF		NUL			방언	니까/EF		
니까느루	EC		VO|LQ			강조&비표준	니까/EC		
니까느루	EF		VO|LQ			강조&비표준	니까/EF		
니까는	EC		VO|LQ			강조	으니까/EC		
니까는	EF		VO|LQ			강조	으니까/EF		
니까니	EC		NUL			방언	니까/EC		
니까니	EF		NUL			방언	니까/EF		
니깐	EC		VO|LQ				으니까/EC		
니꺼니	EC		NUL			방언	니까/EC		
니꺼니	EF		NUL			방언	니까/EF		
니께	EC		NUL			방언	니까/EC		
니께	EF		NUL			방언	니까/EF		
니께니	EC		NUL			방언	니까/EC		
니께니	EF		NUL			방언	니까/EF		
니껴	EF		NUL			방언	ㅂ니까/EF		
니끼니	EC		NUL			방언	니까/EC		
니끼니	EF		NUL			방언	니까/EF		
니라	EF		VO|LQ	해라체		예스러움			
니라	EF		NUL			방언	너라/EF		
니만치	EC		VO|LQ				으니만치/EC		
니만큼	EC		VO|LQ				으니만큼/EC	으니만치/EC	
니이껴	EF		NUL			방언	습니까/EF		
닝까	EC		NUL			방언	니까/EC		
닝까	EF		NUL			방언	니까/EF		
다	EF		NUL	해라체			는다/EF		*/VCP|*/VCN|*/VA
다	EF		NUL		과거				*/VV|*/EP
다	EF		NUL						
다	EC		NUL				다가/EC		
다	EF		NUL				다가/EF		
다	EC		NUL				다가/EC		
다	EF		NUL				다가/EF		
다	EC		NUL				다가/EC		
다	EF		NUL				다가/EF		
다가	EC		NUL						
다가	EC		NUL						
다가	EC		NUL						
다가	EC		NUL		진행				
다가는	EC		NUL						
다가는	EC		NUL			강조			
다간	EC		NUL				다가는/EC		
다간	EC		NUL				다가는/EC		
다고	EC		NUL						*/VCP|*/VCN|*/VA
다고	EC		NUL						*/VCP|*/VCN|*/VA
다고	EF		NUL	해체		강조			*/VCP|*/VCN|*/VA
다고	EF		NUL	해체					*/VCP|*/VCN|*/VA
다고	EF		NUL	해체					*/VCP|*/VCN|*/VA
다나	EF		NUL			구어			*/VCP|*/VCN|*/VA
다네	EF		NUL	하게체					*/VCP|*/VCN|*/VA
다느니	EC		NUL						*/VCP|*/VCN|*/VA
다니	EF		NUL	해체					
다니	EF		NUL	해라체					*/VCP|*/VCN|*/VA
다니까	EF		NUL	해체		확인			*/VCP|*/VCN|*/VA
다더라	EF		NUL	해라체					*/VCP|*/VCN|*/VA
다라	EF		NUL			방언	더라/EF		
다라니	EC		NUL			방언	기에/EC		
다마는	EC		NUL						*/VCP|*/VCN|*/VA
다마다	EF		NUL			강조		고말고/EF	
다만	EC		NUL				다만/EC		
다며	EF		NUL				다면서/EF		
다면	EC		NUL						*/VCP|*/VCN|*/VA
다면서	EF		NUL	해체		확인			*/VCP|*/VCN|*/VA
다문	EC		NUL			방언	다면/EC		
다문	EF		NUL			방언	다면/EF		
다손	EC		NUL						*/VCP|*/VCN|*/VA
다스피	EC		NUL			방언	다시피/EC		
다시피	EC		NUL						*/VCP|*/VCN|*/VA
다시피	EC		NUL						
다오	EF		NUL	하오체					
다요	EF		NUL			방언	대요/EF		
다우	EF		NUL			방언	대요/EF		
다우	EF		NUL			방언	다오/EF		
다지	EF		NUL	해체		확인			*/VCP|*/VCN|*/VA
단	EC		NUL				다가는/EC		
단	EC		NUL				다가는/EC		
단다	EF		NUL	해라체					*/VCP|*/VCN|*/VA
담	EF		NUL	해라체		구어			*/VCP|*/VCN|*/VA
답니까	EF		NUL	합쇼체					
답니다	EF		NUL	합쇼체					
답시고	EC		NUL						*/VCP|*/VCN|*/VA
당께	EF		NUL			방언	다니까/EF		
당께로	EF		NUL			방언	다니까/EF		
대	EF		NUL	해체					*/VCP|*/VCN|*/VA
대끼	EC		NUL			방언	듯이/EC		
대요	EF		NUL	해요체		구어			*/VCP|*/VCN|*/VA
댄다	EF		NUL	해라체		비표준	단다/EF		*/VCP|*/VCN|*/VA
더	EP		NUL		회상				
더거	EC		NUL			방언	다가/EC		
더구나	EF		NUL	해라체	회상	감탄			
더구려	EF		NUL	하오체	회상	감탄			
더구료	EF		NUL	하오체	회상	비표준&감탄	더구려/EF		
더구만	EF		NUL			비표준	더거먼/EF		
더구먼	EF		NUL				더거먼/EF		
더구면	EF		NUL			비표준	더거먼/EF		
더군	EF		NUL	해체	회상				
더군	EF		NUL				더구나/EF		
더냐	EF		NUL	해라체	과거				
더뇨	EF		NUL	해라체		예스러움			
더니	EC		NUL		과거				
더니	EC		NUL		과거				
더니	EC		NUL		과거				
더니	EF		NUL	해라체	과거	예스러움&구어			
더니	EF		NUL		과거회상				
더니라	EF		NUL	해라체	회상	예스러움			
더니마는	EC		NUL		과거				
더니마는	EC		NUL		과거				
더니마는	EC		NUL		과거				
더니만	EC		NUL				더니마는/EC		
더니만	EC		NUL				더니마는/EC		
더니만	EC		NUL				더니마는/EC		
더니이까	EF		NUL	합쇼체		예스러움			
더니이다	EF		NUL	합쇼체		예스러움			
더라	EF		NUL	해라체					
더라나	EF		NUL			구어			
더라니	EF		NUL	해체	과거				
더라니까	EF		NUL	해체		확인			
더라도	EC		NUL						
더라며	EF		NUL				더라면서/EF		
더라면	EC		NUL			가정			었/EP
더라면서	EF		NUL	해라체	과거	확인			
더라손	EC		NUL		과거				
더라지	EF		NUL	해체	회상	확인			
더람	EF		NUL	해라체		구어			
더만	EC		NUL			방언	더구먼/EC		
다문	EF		NUL			방언	다면/EF		
더이까	EF		NUL	합쇼체		예스러움			
더이다	EF		NUL	합쇼체		예스러움			
던	ETM		NUL		미완				
던	EF		NUL	해라체	과거				
던가	EF		NUL	하게체	과거				
던가	EF		NUL		과거				
던감	EF		NUL		과거				
던걸	EF		NUL	해체	과거	구어			
던고	EF		NUL	해라체	과거				
던고	EF		NUL	해라체	과거				
던데	EC		NUL		회상				
던데	EF		NUL	해체	과거	감탄			
던들	EC		NUL						었/EP
던디	EC		NUL			방언	든지/EC		
던바	EC		NUL		과거	문어			
던지	EC		NUL						
데	EF		NUL	해체	회상				
데끼	EC		NUL			방언	듯이/EC		
데요	EF		NUL	해요체|하오체	회상	구어			
덴	EC		NUL			방언	다고/EC		
덴	EF		NUL			방언	다고/EF		
도다	EF		NUL	해라체		예스러움&감탄			
도록	EC		NUL						
도록	EF		NUL	해라체		명령			
되	EC		NUL			예스러움			
되	EC		NUL						
되	EC		NUL						
두구나	EF		NUL			방언	더구나/EF		
두나	EF		NUL			방언	더구나/EF		
두락	EC		NUL			방언	도록/EC		
두락	EF		NUL			방언	도록/EF		
두마는	EC		NUL			방언	더구먼/EC		
두마는	EF		NUL			방언	더구먼/EF		
둔	EF		NUL			방언	더군/EF		
뒈	EC		NUL			방언	되/EC		
드구나	EF		NUL	해라체	회상	비표준&감탄	더구나/EF		
드구료	EF		NUL	하오체	회상	비표준&감탄	더구려/EF		
드구면	EC		NUL			비표준	더구먼/EC		
드구면	EF		NUL			비표준	더구먼/EF		
드군	EF		NUL	해체	회상	비표준	더군/EF		
드냐	EF		NUL	해라체	과거	비표준	더냐/EF		
드니	EF		NUL	해라체	과거	예스러움&구어	더니/EF		
드니라	EF		NUL	해라체	회상	예스러움&비표준	더니라/EF		
드라	EF		NUL	해라체	과거	비표준	더라/EF		
드라도	EC		NUL			비표준	더라도/EC		
드라면	EC		NUL			가정&비표준	더라면/EC		었/EP
드래도	EC		NUL			비표준	더라도/EC		
드룩	EC		NUL			방언	듯/EC		
드키	EC		NUL			방언	듯이/EC		
득기	EC		NUL			방언	듯이/EC		
든	EC		NUL				든지/EC		
든	EC		NUL				든지/EC		
든	ETM		NUL		미완	비표준	던/ETM		
든가	EC		NUL			선택			
든가	EC		NUL						
든가	EF		NUL	하게체	과거	의문&비표준	던가/EF		
든가	EF		NUL		과거	의문&비표준	던가/EF		
든걸	EF		NUL	해체	과거	구어&비표준	던걸/EF		
든고	EF		NUL	해라체	과거	비표준	던고/EF		
든데	EC		NUL		회상	비표준	던데/EC		
든데	EF		NUL	해체	과거	비표준&감탄	던데/EF		
든들	EC		NUL			비표준	던들/EC		었/EP
든지	EC		NUL			선택		든가/EC	
든지	EC		NUL					든가/EC	
든지	EC		NUL			비표준	던지/EC		
듯	EC		NUL				듯이/EC		
듯이	EC		NUL						
디	EC		NUL			강조			*/VA
디	EF		NUL	해라체	과거	의문			
디	EC		NUL			방언	니/EC		
디	EF		NUL			방언	니/EF		
디	EC		NUL			방언	지/EC		
디	EF		NUL			방언	지/EF		
디	EC		NUL			방언	지/EC		
디	EF		NUL			방언	지/EF		
디마는	EC		NUL			방언	지마는/EC		
디만	EC		NUL			방언	지만/EC		
디만	EF		NUL			방언	지만/EF		
디요	EF		NUL			방언	지요/EF		
디이	EC		NUL			방언	더니/EC		
디이	EF		NUL			방언	더니/EF		
딕기	EC		NUL			방언	듯이/EC		
떼까	EF		NUL			방언	습니까/EF		
ㄹ	ETM		VO|LQ						
ㄹ	ETM		VO|LQ						
ㄹ가	EF		VO|LQ	해체		비표준	을까/EF		
ㄹ가	EF		VO				ㄹ까/EF		
ㄹ값에	EC		VO			방언	을망정/EC		
ㄹ거나	EF		VO|LQ	해체			을거나/EC		*/VV|*/EP
ㄹ걸	EF		VO|LQ	해체		구어	을걸/EF		
ㄹ걸	EF		VO|LQ			구어	을걸/EF		*/VV|*/EP
ㄹ게	EF		VO|LQ	해체		구어	을게/EF		
ㄹ고	EF		VO	해라체		예스러움&비표준	을꼬/EF		
ㄹ고	EF		VO				을꼬/EF		
ㄹ까	EF		VO|LQ	해체			을까/EF		
ㄹ까	EF		VO|LQ	해체			을까/EF		
ㄹ깝쇼	EF		VO|LQ	합쇼체		예스러움	는뎁쇼/EF		*/VV|*/EP
ㄹ꺼나	EF		VO|LQ	해체		비표준	을거나/EF		*/VV|*/EP
ㄹ께	EF		VO|LQ	해체		구어&비표준	을게/EF		
ㄹ꼬	EF		VO|LQ	해라체		예스러움	을꼬/EF		
ㄹ꼬	EF		VO|LQ	해라체		예스러움	을꼬/EF		*/VV|*/EP
ㄹ꾸	EF		VO	해라체		예스러움&비표준	을꼬/EF		
ㄹ꾸	EF		VO	해라체		예스러움&비표준	을꼬/EF		
ㄹ꾸마	EF		VO			방언	마/EF		
ㄹ는지	EC		VO|LQ				을는지/EC		
ㄹ는지	EF		VO|LQ	하게체|해체			을는지/EC		
ㄹ는지	EF		VO|LQ	하게체|해체			을는지/EF		
ㄹ데라구	EF		VO|LQ	해체|해라체		감탄			
ㄹ데라구야	EF		VO			강조	ㄹ데라구/EF		
ㄹ데라니	EF		VO|LQ	해체|해라체		감탄	을데라니/EF		
ㄹ디	EC		VO			방언	을지/EC		
ㄹ디라도	EC		VO			방언	을지라도/EC		
ㄹ딘댄	EC		VO			방언	ㄹ진대/EC		
ㄹ라	EF		VO|LQ	해라체			을라/EF		
ㄹ라	EF		VO			방언	을까/EF		
ㄹ라	EC		VO			방언	려/EC		
ㄹ라고	EF		VO|LQ				을라고/EF		
ㄹ라구	EC		VO			방언	려고/EC		
ㄹ라구	EF		VO			방언	려고/EF		
ㄹ라면	EC		VO|LQ			비표준	으려면/EC		
ㄹ라면	EC		VO|LQ			비표준	으려면/EC		
ㄹ라우	EC		VO			방언	려오/EC		
ㄹ라우	EF		VO			방언	려오/EF		
ㄹ라치면	EC		VO|LQ				을라치면/EC		*/VV|*/EP
ㄹ락	EC		VO|LQ				을락/EC		*/VV|*/EP
ㄹ락	EC		VO			방언	려고/EC		
ㄹ래	EF		VO|LQ	해체			을래/EF		
ㄹ랜	EF		VO			방언	련/EF		
ㄹ랩마	EF		VO			방언	려나/EF		
ㄹ랴고	EC		VO|LQ			비표준	으려고/EC		*/VV|*/EP
ㄹ랴고	EC		VO|LQ			비표준	으려고/EC		*/VV|*/EP
ㄹ랴고	EF		VO|LQ	해체		비표준	으려고/EF		
ㄹ러니	EC		VO|LQ		회상	예스러움	을러니/EC		
ㄹ러라	EF		VO|LQ	해라체		예스러움	을레라/EF		
ㄹ런가	EF		VO|LQ	하게체		예스러움	을런가/EF		
ㄹ런가	EF		VO			강조	을런가/EF		
ㄹ런고	EF		VO|LQ			옛스러움	을런가/EF		
ㄹ런지	EC		VO			비표준	을는지/EC		
ㄹ런지	EF		VO	하게체|해체		비표준	을런지/EF		
ㄹ런지	EF		VO	하게체|해체		비표준	을런지/EF		
ㄹ레	EF		VO|LQ	하게체					
ㄹ레	EF		VO|LQ	하게체			을레/EF		
ㄹ레라	EF		VO|LQ	해라체		예스러움	을레라/EF		
ㄹ려고	EC		VO|LQ			비표준	으려고/EC		*/VV|*/EP
ㄹ려고	EC		VO|LQ			비표준	으려고/EC		*/VV|*/EP
ㄹ려고	EF		VO|LQ	해체		비표준	으려고/EF		
ㄹ려면	EC		VO|LQ			비표준	으려면/EC		
ㄹ려면	EC		VO|LQ			비표준	으려면/EC		
ㄹ려야	EF		VO|LQ			비표준	으려야/EF		*/VV|*/EP
ㄹ리라	EF		VO			방언	을라/EF		
ㄹ망정	EC		VO|LQ				을망정/EC		
ㄹ밖에	EF		VO|LQ	해체			을밖에/EF		
ㄹ뿐더러	EC		VO|LQ				을뿐더러/EC		
ㄹ사	EC		VO|LQ						
ㄹ사	EF		VO|LQ	해요체|하오체		예스러움	을사/EF		
ㄹ사록	EC		VO			비표준	을수록/EC		
ㄹ새	EC		VO|LQ		진행	예스러움	을새/EC		
ㄹ세	EF		VO|LQ	하게체			을세/EF		
ㄹ세	EF		VO	하게체			을세/EF		*/VCP|*/VCN
ㄹ세	EF		VO	하게체		감탄	을세/EF		*/VCP|*/VCN
